"ID","AIRLINE_ID","ROUTE_ID","DATE","NUMBER","EQUIPMENT_ID"
"1","24","4917","2011-12-18 06:15:00.0","3756",
"2","24","5127","2011-12-27 05:35:00.0","3761",
"3","24","4873","2012-01-28 15:30:00.0","98",
"4","1355","11636","2012-01-29 08:05:00.0","6292",
"5","1355","11407","2012-02-05 07:15:00.0","6296",
"6","1355","11713","2012-02-05 10:15:00.0","6197",
"7","24","4843","2012-03-16 11:15:00.0","1530",
"8","24","4222","2012-03-26 10:59:00.0","3695",
"9","24","4003","2010-10-29 13:25:00.0","1067",
"10","24","4024","2010-10-29 17:05:00.0","1046",
"11","24","3864","2010-11-02 09:20:00.0","1147",
"12","24","4055","2010-11-02 11:15:00.0","1372",
"13","24","4222","2009-09-05 05:30:00.0","1727",
"14","24","4851","2009-12-13 08:55:00.0","1446",
"15","24","4492","2013-01-07 14:45:00.0","371",
"16","24","4374","2010-12-30 08:30:00.0","577",
"17","24","61200","2010-07-05 12:50:00.0","532",
"18","24","4872","2012-11-19 14:40:00.0","336",
"19","24","4222","2012-11-26 04:10:00.0","3795",
"20","24","4338","2010-12-29 09:45:00.0","695",
"33","24","3864","2011-01-02 10:45:00.0","1576",
"34","24","4055","2011-01-02 12:30:00.0","318",
"35","24","4003","2010-02-19 02:15:00.0","855",
"36","24","4024","2010-02-19 05:55:00.0","1435",
"37","24","3864","2010-02-22 11:10:00.0","1286",
"38","24","4055","2010-02-22 13:20:00.0","318",
"39","24","5005","2011-03-19 14:00:00.0","4482",
"40","5209","52475","2010-09-07 12:05:00.0","690","2729"
"21","5209","52158","2010-09-21 09:00:00.0","683","2729"
"22","5209","52475","2010-09-07 12:05:00.0","690","2729"
"23","5209","52158","2010-09-21 09:00:00.0","683","2729"
"24","5209","52523","2010-06-18 07:00:00.0","609","2806"
"25","5209","52864","2010-06-18 10:20:00.0","6041","2970"
"26","5209","52450","2011-07-01 05:00:00.0","291","2733"
"27","5209","51431","2011-07-05 09:00:00.0","342","2729"
"28","5209","52914","2012-01-21 08:00:00.0","489","2733"
"29","5209","52441","2011-07-27 10:15:00.0","909","2819"
"30","5209","51230","2011-07-27 13:55:00.0","745","2806"
"31","5209","52857","2011-08-04 09:04:00.0","618","2806"
"32","4547","57747",,"441",
"41","4547","58332",,"2975",
"42","4547","58013",,"2255",
"43","4547","58332",,"2975",
"44","4547","58053",,"3675",
"45","4547","58430",,"3675",
"46","4547","57918",,"305",
"47",,"11077","2011-03-24 11:00:00.0","917",
"48",,"11167","2010-11-25 05:15:00.0","908",
"49",,"11077","2010-11-29 10:30:00.0","917",
"50",,"11077","2011-07-13 10:50:00.0","917",
"51",,"11000","2014-05-16 12:00:00.0","692",
"52",,"10950","2014-05-20 06:22:00.0","687",
"53",,"11000","2014-06-14 13:20:00.0","694",
"54",,"10950","2014-06-18 02:24:00.0","681",
"55",,"11167","2010-12-15 10:00:00.0","916",
"56",,"10950","2014-06-18 14:45:00.0","695",
"57",,"11077","2012-08-23 15:40:00.0","915",
"58",,"10950","2014-08-19 05:15:00.0","489",
"59",,"10987","2014-06-14 13:55:00.0","1218",
"60",,"11077","2011-07-13 10:50:00.0","917",
"65",,"11000","2014-06-14 13:20:00.0","694",
"66",,"10950","2014-06-18 02:24:00.0","681",
"67",,"11167","2011-01-03 10:00:00.0","916",
"68",,"11167","2010-11-25 05:15:00.0","908",
"69",,"11077","2010-11-29 10:30:00.0","917",
"70",,"11077","2012-08-17 15:40:00.0","915",
