id,icao,lto,distance1,distance2,distance3,distance4,distance5,distance6,distance7,distance8,distance9,distance10,distance11,distance12,distance13,distance14,distance15,distance16,cruise1,cruise2,cruise3,cruise4,cruise5,cruise6,cruise7,cruise8,cruise9,cruise10,cruise11,cruise12,cruise13,cruise14,cruise15,cruise16
1,A306,1723.14,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,2101.364,3610.945,6329.292,9199.263,12029.16,17860.764,23526.606,29274,35002.832,40682.052,,,,,,
2,A310,1506.588,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,1905.988,3293.403,5252.426,7487.051,9698.551,14234.129,18647.392,23089.771,27573.444,32091.302,,,,,,
3,A318,684.996,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,1038.782,1773.892,2796.509,3886.877,4998.19,7288.792,9510.171,11751.9,,,,,,,,
4,A319,688.812,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,1074.5913,1812.232,2819.845,3905.378,5013.779,7294.677,9513.401,11774.616,14711.865,,,,,,,
5,A320,873.252,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,1062.5793,1831.1146,2949.328,4200.387,5439.014,7994.83,10464.916,13423.113,16059.1162,,,,,,,
6,A321,1034.489,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,1279.18,2196.848,3689.144,5303.64,6896.285,10176.903,13366.988,16617.105,,,,,,,,
7,A332,2231.52,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,2491.829,4252.185,6839.64,9588.501,12361.216,18037.83,23607.834,29193.104,34814.027,40496.787,46583.601,51955.758,57869.811,63516.349,75793.679,
8,A333,1883.988,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,2498.333,4265.3,6761.983,9352.628,11971.814,17332.045,22594.932,27867.879,34449.031,39990.157,45974.105,,,,,
9,A343,2019.888,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,2790.04,4654.17,7744.325,11009.717,14238.491,20869.283,27337.043,33828.988,40459.361,46933.015,54164.88,60309.545,67303.051,74261.938,88982.593,114997.695
10,A345,1862.64,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,2503.284,4248.834,7131.67,10117.069,13170.091,19406.691,25551.414,31679.728,37935.447,44870.491,51678.708,57563.09,64258.75,70466.807,84463.278,105456.29
11,A346,3372.96,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,3337.59,5677.938,9677.232,13873.168,18078.685,26667.701,35124.142,43580.866,52107.206,60612.857,69685.871,78134.355,86829.642,95516.463,113809.542,146557.28
12,A388,4142.4,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,5345.247,9095.948,15585.301,22204.588,28939.858,42746.84,56306.818,69901.135,84643.685,98473.729,113137.76,126561.41,140923.86,155270.19,184879.77,229123.94
13,AT43,157.8648,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,290.3938,518.2326,995.266,1476.0588,1955.3344,3025.1587,,,,,,,,,,
14,AT45,199.3896,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,328.0795,579.6585,1115.8979,1657.4492,2190.8007,3285.3961,,,,,,,,,,
15,AT72,393.816,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,723.5438,1361.9258,2652.4949,3967.0469,5276.0164,8090.4234,,,,,,,,,,
16,B462,570.0408,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,972.0803,1710.366,3108.366,4567.649,6145.982,,,,,,,,,,,
17,B712,753.336,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,850.593,1469.169,2725.406,3989.349,5231.646,,,,,,,,,,,
18,B722,1458.9,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,1665.5757,3072.466,5346.902,7823.999,10281.307,15330.895,20306.123,,,,,,,,,
19,B732,907.896,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,1139.28,1897.858,3218.145,4619.211,6003.697,8862.264,,,,,,,,,,
20,B733,783.432,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,1051.604,1797.925,3017.065,4352.115,5665.68,8382.789,,,,,,,,,,
21,B734,842.496,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,1079.419,1857.836,3277.619,4775.08,6256.687,9379.383,12365.752,,,,,,,,,
22,B735,896.952,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,1019.772,1748.133,2999.12,4348.71,5643.548,8286.558,10863.558,,,,,,,,,
23,B736,721.116,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,1030.31,1698.863,2754.481,3885.256,5001.176,7296.263,,,,,,,,,,
24,B737,779.22,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,1079.1334,1801.3106,2895.933,4110.331,5310.282,7780.399,10186.252,12605.385,15044.838,17476.115,20100.22,,,,,
25,B738,881.1,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,1133.389,1876.878,3111.629,4366.412,5632.165,8236.443,11055.406,13688.313,16343.663,19727.011,22747.791,,,,,
26,B742,3074.568,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,4572.911,7668.677,12811.163,18285.506,23710.697,34848.791,45652.645,56588.827,67605.55,78600.299,90346.089,101324.458,113117.661,124743.282,148051.671,181602.024
27,B743,3430.484,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,4095.003,7374.392,12924.778,19049.28,25103.28,37603.677,49781.806,61905.544,74828.5,87183.354,100386.127,112449.275,125375.728,,,
28,B744,3319.676,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,3970.416,6846.345,11257.525,16103.202,20892.998,30316.772,40307.281,49956.746,59725.657,69344.935,79620.284,89035.258,98484.782,108526.968,129294.929,162309.788
30,B753,1463.64,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,1563.742,2701.096,4622.037,6759.656,8810.798,13086.387,17161.554,21314.466,25505.481,,,,,,,
31,B762,1462.656,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,2001.28,3442.082,5751.416,8209.667,10675.27,15732.596,20675.297,25657.706,30711.507,35518.373,41123.15,45790.231,51162.542,56169.377,66845.158,
32,B763,1774.788,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,2140.623,3605.444,5942.838,8470.377,10963.248,16077.939,21108.985,26076.921,31139.898,36168.514,41711.119,46731.566,51603.632,,,
33,B772,2332.104,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,2722.562,4688.511,7846.197,11116.779,14408.127,21164.151,27817.38,34277.81,41195.309,47781.916,55067.051,61385.792,68587.514,75470.449,89459.549,110974.384
34,B773,2408.88,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,3004.406,5095.098,8796.524,12506.939,16182.529,23701.315,31118.183,38554.538,46798.859,54407.742,62655.606,69962.303,78183.909,86214.983,102841.625,
35,B77L,3090.84,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,3023.054,5371.97,9238.64,13385.834,17538.873,26032.639,34417.993,42786.037,51338.251,59639.514,68390.122,76606.572,84908.84,93725.846,111609.86,138756.744
36,B77W,2951.76,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,3160.129,5589.137,9714.934,14077.111,18435.78,27398.925,36180.145,44886.109,53724.105,62531.561,71541.522,80341.713,89555.434,98442.189,117820.913,147511.826
37,BA11,771.54,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,773.229,1333.106,2212.896,3178.895,4289.876,,,,,,,,,,,
38,BE20,95.3676,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,154.9734,263.7691,470.9982,681.8374,,,,,,,,,,,,
39,C130,239.0688,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,1139.5471,1888.448,3670.965,5413.455,7140.186,10721.789,13573.866,18224.485,,,,,,,,
40,C550,161.7588,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,213.7972,367.08,657.573,955.359,1251.268,1976.502,,,,,,,,,,
41,CRJ1,334.3152,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,482.976,869.456,1418.264,2042.036,,,,,,,,,,,,
42,CRJ2,334.3152,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,468.0403,820.4453,1378.7487,1981.2683,2577.2247,3798.235,,,,,,,,,,
43,CRJ9,479.952,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,689.4582,1187.436,2028.492,2909.867,3783.256,,,,,,,,,,,
44,D228,183.684,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,133.5312,262.2948,480.8299,,,,,,,,,,,,,
45,D328,1171.092,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,263.6387,450.923,818.533,1188.789,,,,,,,,,,,,
46,DC10,2305.926,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,3194.625,5180.909,8598.911,12140.674,15641.746,22825.614,29851.323,36927.764,44054.31,51153.625,58964.33,65794.115,73374.762,,,
47,DC85,1506.588,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,1905.988,3224.28,5890.995,8586.698,11231.867,16685.752,21990.693,27335.696,32747.139,38109.971,43578.072,49069.053,,,,
48,DC87,1695.192,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,2241.731,3537.032,5428.346,7460.451,9468.433,13618.083,17611.431,21663.207,25724.427,29751.135,,,,,,
49,DC94,949.586,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,1552.096,2420.865,4132.52,5856,7562.297,,,,,,,,,,,
50,DH8A,1171.092,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,295.4458,544.158,,,,,,,,,,,,,,
51,DH8C,1171.092,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,315.0382,584.5787,,,,,,,,,,,,,,
52,DH8D,1171.092,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,482.92,842.493,1522.23,2205.337,,,,,,,,,,,,
53,E120,1171.092,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,248.2963,440.9727,762.5604,,,,,,,,,,,,,
54,E145,314.1624,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,480.4443,816.8091,1380.1216,1985.3277,2584.4271,,,,,,,,,,,
55,E170,481.56,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,697.3782,1175.1647,1857.5431,2628.4521,3391.3171,4967.8014,,,,,,,,,,
56,E190,614.664,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,855.638,1468.128,2355.662,3346.892,4328.861,6507.141,8529.791,,,,,,,,,
57,F100,754.08,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,876.325,1510.546,2540.077,3917.395,4714.05,6976.347,,,,,,,,,,
58,F27 ,623.628,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,415.9027,714.631,1301.7983,,,,,,,,,,,,,
59,F28 ,623.628,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,927.915,1434.009,2273.667,3123.143,4243.803,,,,,,,,,,,
60,F2TH,169.932,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,413.2172,720.4078,1187.753,1576.4852,2047.9443,3018.3822,3961.7387,4909.7638,5864.0373,,,,,,,
61,F50 ,1171.092,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,318.6472,573.954,1018.5735,1487.0985,2011.4899,,,,,,,,,,,
63,JS41,183.684,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,206.9461,364.4226,675.8147,,,,,,,,,,,,,
64,MD11,2627.91,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,2917.979,5262.455,9303.364,13713.543,18069.212,26992.428,35761.708,44553.531,53711.295,62589.115,72136.513,81121.913,90179.859,99045.107,118228.012,145983.13
65,MD82,985.248,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,1261.137,2123.299,3596.479,5230.936,6846.384,10172.613,,,,,,,,,,
66,MD83,1002.72,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,1299.555,2192.577,3825.006,5584.928,7328.762,10946.282,14427.481,,,,,,,,,
67,PA27,8.796,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,83.36667,167.425,336.08333,,,,,,,,,,,,,
68,PAY3,95.3676,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,171.2766,281.2304,505.1268,735.5321,962.2014,,,,,,,,,,,
69,RJ85,603.0914,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,946.2517,1634.04,2660.417,3864.734,5060.71,,,,,,,,,,,
