id,name,alias,IATA,ICAO,callsign,country,active
39,Aban Air,,K5,ABE,ABAN,Iran,t
2,135 Airways,,  ,GNL,GENERAL,United States,f
4,2 Sqn No 1 Elementary Flying Training School,,  ,WYT,"",United Kingdom,f
5,213 Flight Unit,,  ,TFU,"",Russia,f
6,223 Flight Unit State Airline,,  ,CHD,CHKALOVSK-AVIA,Russia,f
7,224th Flight Unit,,  ,TTF,CARGO UNIT,Russia,f
8,247 Jet Ltd,,  ,TWF,CLOUD RUNNER,United Kingdom,f
9,3D Aviation,,  ,SEC,SECUREX,United States,f
11,4D Air,,  ,QRT,QUARTET,Thailand,f
12,611897 Alberta Limited,,  ,THD,DONUT,Canada,f
15,Abelag Aviation,,W9,AAB,ABG,Belgium,f
16,Army Air Corps,,  ,AAC,ARMYAIR,United Kingdom,f
17,Aero Aviation Centre Ltd.,,  ,AAD,SUNRISE,Canada,f
18,Aero Servicios Ejecutivos Internacionales,,  ,SII,ASEISA,Mexico,f
19,Aero Biniza,,  ,BZS,BINIZA,Mexico,f
20,Aero Albatros,,  ,ABM,ALBATROS ESPANA,Spain,f
43,Abaet,,  ,ABJ,Abaet,Brazil,f
103,Aeroservicios Ejecutivos Del Occidente,,  ,AEO,AERO OCCIDENTE,Mexico,f
104,Aerotec,,  ,AEP,AEROTEC,Spain,f
105,Air Atlantique,,KI,AAG,ATLANTIC,United Kingdom,f
107,Air Alma,,  ,AAJ,AIR ALMA,Canada,f
108,Air Express,,  ,AEQ,LUNA,Sweden,f
111,Aeronautical Radio of Thailand,,  ,AET,AEROTHAI,Thailand,f
113,Aeroventas,,  ,AEV,AEROVENTAS,Mexico,f
115,Airway Express,,  ,AEX,AVCO,United States,f
117,Aerial Transit Company,,  ,AEZ,AERIAL TRANZ,United States,f
118,Alfa Air,,  ,AFA,BLUE ALFA,Czech Republic,f
119,American Falcon,,WK,AFB,AMERICAN FALCON,Argentina,f
121,Air Universal,,  ,UVS,UNI-LEONE,Sierra Leone,f
122,Auvia Air,,  ,UVT,AUVIA,Indonesia,f
123,African West Air,,  ,AFC,AFRICAN WEST,Senegal,f
124,Airfast Indonesia,,  ,AFE,AIRFAST,Indonesia,f
126,Air Fecteau,,  ,AFH,FECTO,Canada,f
127,Africaone,,  ,AFI,AFRICAWORLD,Uganda,f
128,Alliance,,  ,AFJ,JAMBO,Uganda,f
205,Alpine Air Express,,5A,AIP,ALPINE AIR,United States,f
206,Alicante Internacional Airlines,,  ,AIU,ALIA,Spain,f
207,Aba Air,,  ,ABP,BAIR,Czech Republic,f
209,Airmark Aviation,,  ,THM,THAI AIRMARK,Thailand,f
211,Airest,,  ,AIT, ,Estonia,f
212,Air Baffin,,  ,BFF,AIR BAFFIN,Canada,f
213,Air Bandama,,  ,BDM,BANDAMA,Ivory Coast,f
215,Air Brousse,,  ,ABT,AIR BROUSSE,Canada,f
216,Air Contractors,,AG,ABR,CONTRACT,Ireland,f
217,Air Illinois,,  ,AIL,AIR ILLINOIS,United States,f
219,Air Inter Gabon,,  ,AIG, ,Gabon,f
222,Air Inuit,,  ,AIE,AIR INUIT,Canada,f
223,Air Sureste,,  ,AIS,SURESTE,Spain,f
224,Air Srpska,,RB,SBK,Air Srpska,Bosnia and Herzegovina,f
226,Airvias S/A Linhas Aereas,,  ,AIV,AIRVIAS,Brazil,f
227,Aero Services Executive,,W4,BES,BIRD EXPRESS,France,f
228,Atlantic Island Airways,,  ,AIW,TARTAN,Canada,f
229,Aircruising Australia,,  ,AIX,CRUISER,Australia,f
307,Aeroputul International Marculesti,,  ,AMM,AEROM,Moldova,f
308,Air Montenegro,,  ,AMN,MONTENEGRO,Montenegro,f
309,Air Montreal (Air Holdings Inc.),,  ,AMO,AIR MONTREAL,Canada,f
310,Aero Transporte S.A. (ATSA),,  ,AMP,ATSA,Peru,f
311,Aeromedicare Ltd.,,  ,AMQ,LIFELINE,United Kingdom,f
313,Air Specialties Corporation,,  ,AMR,AIR AM,United States,f
314,Air Muskoka,,  ,AMS,AIR MUSKOKA,Canada,f
