id,state,period,price
"1","AL","201309","11.74"
"2","AL","201308","11.6"
"3","AL","201307","11.56"
"4","AL","201306","11.66"
"5","AL","201305","11.43"
"6","AL","201304","11.4"
"7","AL","201303","10.97"
"8","AL","201302","10.92"
"9","AL","201301","10.84"
"10","AL","201212","10.96"
"11","AL","201211","11.04"
"12","AL","201210","11.71"
"13","AL","201209","11.76"
"14","AL","201208","11.71"
"15","AL","201207","11.58"
"16","AL","201206","11.56"
"17","AL","201205","11.14"
"18","AL","201204","11.56"
"19","AL","201203","11.48"
"20","AL","201202","11.21"
"21","AL","201201","10.91"
"22","AL","201112","10.87"
"23","AL","201111","11.15"
"24","AL","201110","11.73"
"25","AL","201109","11.56"
"26","AL","201108","11.41"
"27","AL","201107","11.34"
"28","AL","201106","11.29"
"29","AL","201105","11.25"
"30","AL","201104","10.87"
"31","AL","201103","10.92"
"32","AL","201102","10.56"
"33","AL","201101","10.28"
"34","AL","201012","10.34"
"35","AL","201011","10.89"
"36","AL","201010","11.44"
"37","AL","201009","11.1"
"38","AL","201008","11.18"
"39","AL","201007","10.79"
"40","AL","201006","10.81"
"41","AL","201005","10.99"
"42","AL","201004","11.19"
"43","AL","201003","10.25"
"44","AL","201002","9.77"
"45","AL","201001","9.82"
"46","AL","200912","9.82"
"47","AL","200911","10.21"
"48","AL","200910","10.42"
"49","AL","200909","10.91"
"50","AL","200908","10.98"
"51","AL","200907","10.85"
"52","AL","200906","11.24"
"53","AL","200905","10.58"
"54","AL","200904","11.06"
"55","AL","200903","10.63"
"56","AL","200902","10.54"
"57","AL","200901","10.48"
"58","AL","200812","10.25"
"59","AL","200811","11.02"
"60","AL","200810","11.56"
"61","AL","200809","11.03"
"62","AL","200808","11.03"
"63","AL","200807","11.06"
"64","AL","200806","10.92"
"65","AL","200805","9.96"
"66","AL","200804","9.83"
"67","AL","200803","9.37"
"68","AL","200802","9.25"
"69","AL","200801","9.22"
"70","AL","200712","9.03"
"71","AL","200711","9.41"
"72","AL","200710","9.44"
"73","AL","200709","9.33"
"74","AL","200708","9.94"
"75","AL","200707","9.46"
"76","AL","200706","9.66"
"77","AL","200705","9.39"
"78","AL","200704","9.58"
"79","AL","200703","9.06"
"80","AL","200702","8.73"
"81","AL","200701","8.62"
"82","AL","200612","8.09"
"83","AL","200611","8.45"
"84","AL","200610","8.64"
"85","AL","200609","9.13"
"86","AL","200608","9.56"
"87","AL","200607","9.18"
"88","AL","200606","9.35"
"89","AL","200605","8.69"
"90","AL","200604","8.96"
"91","AL","200603","8.27"
"92","AL","200602","8.14"
"93","AL","200601","7.73"
"94","AL","200512","8.03"
"95","AL","200511","8.61"
"96","AL","200510","8.14"
"97","AL","200509","8.47"
"98","AL","200508","8.18"
"99","AL","200507","8.25"
"100","AL","200506","8.31"
"101","AL","200505","8.19"
"102","AL","200504","7.87"
"103","AL","200503","7.58"
"104","AL","200502","7.23"
"105","AL","200501","7.0"
"106","AL","200412","7.16"
"107","AL","200411","7.63"
"108","AL","200410","7.75"
"109","AL","200409","7.82"
"110","AL","200408","7.87"
"111","AL","200407","7.91"
"112","AL","200406","7.76"
"113","AL","200405","7.78"
"114","AL","200404","8.14"
"115","AL","200403","7.66"
"116","AL","200402","7.2"
"117","AL","200401","6.97"
"118","AL","200312","7.26"
"119","AL","200311","7.67"
"120","AL","200310","7.46"
"121","AL","200309","7.51"
"122","AL","200308","7.67"
"123","AL","200307","7.64"
"124","AL","200306","7.72"
"125","AL","200305","7.18"
"126","AL","200304","7.81"
