id,IATA,ICAO,name,WTC,similar
2897,CR7,CRJ7,Canadair Regional Jet 700,M,
3080,388,A388,Airbus A380-800,H,
3081,787,B787,Boeing 787 all pax models,H,
3082,CRK,,Canadair Regional Jet 1000,M,
3083,74H,B748,Boeing 747-8 Intercontinental,H,
3084,75T,B753,Boeing 757-300 pax,H,
3085,BE9,BE99,Beechcraft 99,L,
3086,73N,,Boeing 737-700/737-800 all pax models,M,
3087,MA6,MA60,Xian MA60,M,
2716,100,F100,Fokker 100,M,
2717,141,B461,BAe 146-100 Pax,M,
2718,142,B462,BAe 146-200 Pax,M,
2719,143,B463,BAe 146-300 Pax,M,
2720,146,,BAe 146 all pax models,M,
2721,14F,,BAe 146 Freighter (-100/200/300QT & QC),M,
2722,14X,B461,BAe 146 Freighter (-100QT & QC),M,
2723,14Y,B462,BAe 146 Freighter (-200QT & QC),M,
2724,14Z,B463,BAe 146 Freighter (-200QT & QC),M,
2725,310,A310,Airbus A310 all pax models,H,
2726,312,A310,Airbus A310-200 pax,H,
2727,313,A310,Airbus A310-300 pax,H,
2728,318,A318,Airbus A318,M,
2729,319,A319,Airbus A319,M,
2730,31F,A310,Airbus A310 Freighter,M,
2731,31X,A310,Airbus A310-200 Freighter,M,
2732,31Y,A310,Airbus A310-300 Freighter,M,
2733,320,A320,Airbus A320-100/200,M,
2734,321,A321,Airbus A321-100/200,M,
2735,32S,,Airbus A318/319/320/321,M,
2736,330,A330,Airbus A330 all models,H,
2737,332,A332,Airbus A330-200,H,
2738,333,A333,Airbus A330-300,H,
2739,33F,A332,Airbus A330 Freighter,H,
2740,33X,A332,Airbus A330-200 Freighter,H,
2741,340,A340,Airbus A340 all models,H,
2742,342,A342,Airbus A340-200,H,
2743,343,A343,Airbus A340-300,H,
2744,345,A345,Airbus A340-500,H,
2745,346,A346,Airbus A340-600,H,
2746,380,,Airbus A380 pax,H,
2747,38F,,Airbus A380 Freighter,H,
2748,703,B703,Boeing 707-300 pax,H,
2749,707,,Boeing 707/720 all pax models,H,
2750,70F,B703,Boeing 707 Freighter,H,
2751,70M,B703,Boeing 707 Combi,H,
2752,717,B712,Boeing 717,M,
2753,721,B721,Boeing 727-100 pax,M,
2754,722,B722,Boeing 727-200 pax,M,
2755,727,,Boeing 727 all pax models,M,
2756,72B,B721,Boeing 727-100 Mixed Configuration,M,
2757,72C,B722,Boeing 727-200 Mixed Configuration,M,
2758,72F,,Boeing 727 Freighter (-100/200),M,
2759,72M,,Boeing 727 Combi,M,
2760,72S,B722,Boeing 727-200 Advanced pax,M,
2761,72W,B721,Boeing 727-200 (winglets) pax,M,
2762,72X,B721,Boeing 727-100 Freighter,M,
2763,72Y,B722,Boeing 727-200 Freighter,M,
2764,731,B731,Boeing 737-100 pax,M,
2765,732,B732,Boeing 737-200 pax,M,
2766,733,B733,Boeing 737-300 pax,M,
2767,734,B734,Boeing 737-400 pax,M,
2768,735,B735,Boeing 737-500 pax,M,
2769,736,B736,Boeing 737-600 pax,M,
2770,737,,Boeing 737 all pax models,M,
2771,738,B738,Boeing 737-800 pax,M,
2773,73C,B733,Boeing 737-300 (winglets) pax,M,
2774,73E,B735,Boeing 737-500 (winglets)pax,M,
2775,73F,,Boeing 737 all Freighter models,M,
2776,73G,B737,Boeing 737-700 pax,M,
2777,73H,B738,Boeing 737-800 (winglets) pax,M,
2778,73J,B739,Boeing 737-900 (winglets) pax,M,
2779,73L,B732,Boeing 737-200 Combi,M,
2780,73M,,Boeing 737 Combi,M,
2781,73P,B734,Boeing 737-400 Freighter,M,
2782,73Q,B734,Boeing 737-400 Combi,M,
2783,73R,B737,Boeing 737-700 Combi,M,
2784,73W,B737,Boeing 737-700 (winglets) pax,M,
2785,73X,B732,Boeing 737-200 Freighter,M,
2786,73Y,B733,Boeing 737-300 Freighter,M,
2787,741,B741,Boeing 747-100 pax,H,
2788,742,B742,Boeing 747-200 pax,H,
2789,743,B743,Boeing 747-300 pax,H,
2790,744,B744,Boeing 747-400 pax,H,
2791,747,,Boeing 747 all pax models,H,
2792,74B,B744,Boeing 747-400 Swingtail Freighter,H,
2793,74C,B742,Boeing 747-200 Combi,H,
2794,74D,B743,Boeing 747-300 Combi,H,
2795,74E,B744,Boeing 747-400 Combi,H,
2796,74F,,Boeing 747 all Freighter models,H,
2797,74J,B744,Boeing 747-400 (Domestic) pax,H,
2798,74L,N74S,Boeing 747SP,H,
2799,74M,,Boeing 747 all Combi models,H,
2800,74R,B74R,Boeing 747SR pax,H,
2801,74T,B741,Boeing 747-100 Freighter,H,
2802,74U,B743,Boeing 747-300 / 747-200 SUD    Freighter,H,
2803,74V,B74R,Boeing 747SR Freighter,H,
2804,74X,B742,Boeing 747-200 Freighter,H,
2805,74Y,B744,Boeing 747-400 Freighter,H,
2806,752,B752,Boeing 757-200 pax,H,
2807,753,B753,Boeing 757-300 pax,H,
2808,757,,Boeing 757 all pax models,H,
2809,75M,B752,Boeing 757 Mixed Configuration,H,
2810,75W,B752,Boeing 757-200 (winglets) pax,H,
2811,762,B762,Boeing 767-200 pax,H,
2812,763,B763,Boeing 767-300 pax,H,
2813,764,B764,Boeing 767-400 pax,H,
2814,767,,Boeing 767 all pax models,H,
2815,76F,,Boeing 767 all Freighter models,H,
2816,76W,B763,Boeing 767-300 (winglets) pax,H,
2817,76X,B762,Boeing 767-200 Freighter,H,
2818,76Y,B763,Boeing 767-300 Freighter,H,
2819,772,B772,Boeing 777-200 pax,H,
2820,773,B773,Boeing 777-300 pax,H,
2821,777,,Boeing 777 all pax models,H,
2822,77F,,Boeing 777 Freighter,H,
2823,77L,B772,Boeing 777-200LR pax,H,
2824,77W,B77W,Boeing 777-300ER pax,H,
2825,77X,B77L,Boeing 777-200 Freighter,H,
2826,783,B783,Boeing 787-3 pax,H,
2827,788,B788,Boeing 787-8 pax,H,
2828,789,B789,Boeing 787-9 pax,H,
2829,A28,AN28,Antonov AN-28 / PZL Miele M-28 Skytruck,L,
2830,A30,AN30,Antonov AN-30,L,
2831,A32,AN32,Antonov AN-32,L,
2832,A38,AN38,Antonov AN-38,L,
2833,A40,A140,Antonov AN-140,M,
2834,A4F,A124,Antonov AN-124 Ruslan,H,
2835,A5F,A225,Antonov AN-225,H,
2836,A81,A148,Antonov AN-148-100,M,
2837,AB3,A30B,Airbus Industrie A300 pax,H,
2838,AB4,A30B,Airbus Industrie A300B2/B4/C4 pax,H,
2839,AB6,A306,Airbus Industrie A300-600 pax,H,
2840,ABB,A3ST,Airbus Industrie A300-600ST Beluga Freighter,H,
2841,ABF,A30B,Airbus Industrie A300 Freighter,H,
2842,ABX,A30B,Airbus Industrie A300C4/F4 Freighter,H,
2843,ABY,A306,Airbus Industrie A600-600 Freighter,H,
2844,ACD,,Gulfstream/Rockwell (Aero) Commander/Turbo Commander,L,
2845,ACP,AC68,Gulfstream/Rockwell (Aero) Commander,L,
2846,ACT,AC90,Gulfstream/Rockwell (Aero) Turbo Commander,L,
2847,AGH,A109,Agusta A109,,
2848,ALM,LOAD,Ayres LM-200 Loadmaster,M,
2849,AN4,AN24,Antonov AN-24,M,
2850,AN6,,Antonov AN-26 / AN-30 /AN-32,M,
2851,AN7,AN72,Antonov AN-72 / AN-74,M,
2852,ANF,AN12,Antonov AN-12,M,
2853,APH,,Eurocopter (Aerospatiale) SA330 Puma / AS332 Super Puma,,
2854,AR1,RJ1H,Avro RJ100 Avroliner,M,
2855,AR7,RJ70,Avro RJ70 Avroliner,M,
2856,AR8,RJ85,Avro RJ85 Avroliner,M,
2857,ARJ,,Avro RJ70 / RJ85 / RJ100 Avroliner,M,
2858,ARX,,Avro RJX85 / RJX100,M,
2859,AT4,AT43,Aerospatiale/Alenia ATR 42-300 / 320,M,
2860,AT5,AT45,Aerospatiale/Alenia ATR 42-500,M,
2861,AT7,AT72,Aerospatiale/Alenia ATR 72,M,
2862,ATD,AT44,Aerospatiale/Alenia ATR 42-400,M,
2863,ATF,AT72,Aerospatiale/Alenia ATR 72 Freighter,M,
2864,ATP,ATP ,British Aerospace ATP,M,
2865,ATR,,Aerospatiale/Alenia ATR 42/ ATR 72,M,
2866,AX1,RX1H,Avro RJX100,M,
2867,AX8,RX85,Avro RJX85,M,
2868,B11,BA11,British Aerospace (BAC) One Eleven / RomBAC One Eleven,M,
2869,B12,BA11,British Aerospace (BAC) One Eleven 200,M,
2870,B13,BA11,British Aerospace (BAC) One Eleven 300,M,
2871,B14,BA11,British Aerospace (BAC) One Eleven 400/475,M,
2872,B15,BA11,British Aerospace (BAC) One Eleven 500 / RomBAC One Eleven,M,
2873,B72,B720,Boeing 720B pax,M,
2874,BE1,B190,Beechcraft 1900/1900C/1900D,M,
2875,BE2,,Beechcraft twin piston engines,L,
2876,BEC,,Beechcraft light aircraft,L,
2877,BEH,B190,Beechcraft 1900D,M,
2878,BEP,,Beechcraft light aircraft - single engine,L,
2879,BES,B190,Beechcfrat 1900/1900C,M,
2880,BET,,Beechcraft light aircraft - twin turboprop engine,L,
2881,BH2,,Bell Helicopters,,
2882,BNI,BN2P,Pilatus Britten-Norman BN-2A/B Islander,L,
2883,BNT,TRIS,Pilatus Britten-Norman BN-2A Mk III Trislander,L,
2884,BUS,,Bus,,
2885,CCX,GLEX,Canadair Global Express,M,
2886,CD2,NOMA,Government Aircraft Factories N22B / N24A Nomad,L,
2887,CL4,CL44,Canadair CL-44,M,
2888,CN1,,Cessna light aircraft - single piston engine,L,
