parentIATA,childIATA
787,783
787,788
787,789
73N,738
73N,73G
146,141
146,142
146,143
310,312
310,313
32S,318
32S,319
32S,320
32S,321
330,332
330,333
330,33F
330,33X
340,342
340,343
340,345
340,346
380,388
707,703
707,B72
727,721
727,722
727,72S
727,72W
737,731
737,732
737,733
737,734
737,735
737,736
737,738
737,739
737,73C
737,73E
737,73G
737,73H
737,73J
737,73W
73F,73P
73F,73X
73F,73Y
747,741
747,742
747,743
747,744
747,74J
747,74R
747,74H
74F,74B
74F,74T
74F,74U
74F,74V
74F,74X
74F,74Y
74M,74C
74M,74D
74M,74E
757,752
757,753
757,75W
767,762
767,763
767,764
767,76W
76F,76X
76F,76Y
777,772
777,773
777,77L
777,77W
ARJ,AR1
ARJ,AR7
ARJ,AR8
ATR,AT4
ATR,AT5
ATR,AT7
ATR,ATD
ATR,ATF
BE1,BEH
CRJ,CR1
CRJ,CR2
CRJ,CR7
CRJ,CR9
CRJ,CRA
CRJ,CRK
D1F,D1X
D1F,D1Y
D1F,D3F
D1F,D6F
D1F,D8F
D1F,D8T
D1F,D8X
D1F,D8Y
D1F,D9C
D1F,D9D
D1F,D9F
D1F,D9X
D8F,D8T
D8F,D8X
D8F,D8Y
D9F,D9C
D9F,D9D
D9F,D9X
DC8,D8L
DC8,D8Q
DC9,D91
DC9,D92
DC9,D93
DC9,D94
DC9,D95
DH8,DH1
DH8,DH2
DH8,DH3
DH8,DH4
EMJ,E70
EMJ,E90
ERJ,ER3
ERJ,ER4
ERJ,ERD
M80,M81
M80,M82
M80,M83
M80,M87
M80,M88
