id,state,period,price
"1","US","201309","15.65"
"2","US","201308","16.44"
"3","US","201307","16.3"
"4","US","201306","14.97"
"5","US","201305","12.61"
"6","US","201304","10.44"
"7","US","201303","9.34"
"8","US","201302","9.24"
"9","US","201301","9.17"
"10","US","201212","9.75"
"11","US","201211","10.06"
"12","US","201210","11.78"
"13","US","201209","14.81"
"14","US","201208","15.89"
"15","US","201207","15.2"
"16","US","201206","14.25"
"17","US","201205","12.66"
"18","US","201204","11.01"
"19","US","201203","10.45"
"20","US","201202","9.52"
"21","US","201201","9.67"
"22","US","201112","9.83"
"23","US","201111","10.78"
"24","US","201110","12.85"
"25","US","201109","15.63"
"26","US","201108","16.67"
"27","US","201107","16.14"
"28","US","201106","14.7"
"29","US","201105","12.5"
"30","US","201104","11.27"
"31","US","201103","10.43"
"32","US","201102","10.14"
"33","US","201101","9.9"
"34","US","201012","9.98"
"35","US","201011","10.89"
"36","US","201010","13.37"
"37","US","201009","15.63"
"38","US","201008","16.65"
"39","US","201007","16.21"
"40","US","201006","14.86"
"41","US","201005","13.12"
"42","US","201004","11.97"
"43","US","201003","10.99"
"44","US","201002","10.69"
"45","US","201001","10.56"
"46","US","200912","10.42"
"47","US","200911","11.48"
"48","US","200910","11.78"
"49","US","200909","14.8"
"50","US","200908","15.61"
"51","US","200907","15.27"
"52","US","200906","14.26"
"53","US","200905","12.86"
"54","US","200904","11.68"
"55","US","200903","11.98"
"56","US","200902","12.26"
"57","US","200901","12.49"
"58","US","200812","12.84"
"59","US","200811","13.8"
"60","US","200810","15.45"
"61","US","200809","18.41"
"62","US","200808","20.17"
"63","US","200807","20.77"
"64","US","200806","18.91"
"65","US","200805","16.33"
"66","US","200804","14.49"
"67","US","200803","13.13"
"68","US","200802","12.58"
"69","US","200801","12.24"
"70","US","200712","12.34"
"71","US","200711","13.04"
"72","US","200710","14.57"
"73","US","200709","16.03"
"74","US","200708","16.71"
"75","US","200707","16.71"
"76","US","200706","16.28"
"77","US","200705","14.69"
"78","US","200704","13.31"
"79","US","200703","12.81"
"80","US","200702","12.13"
"81","US","200701","12.17"
"82","US","200612","12.53"
"83","US","200611","12.45"
"84","US","200610","12.51"
"85","US","200609","15.71"
"86","US","200608","16.18"
"87","US","200607","15.72"
"88","US","200606","15.07"
"89","US","200605","14.41"
"90","US","200604","13.27"
"91","US","200603","13.17"
"92","US","200602","13.98"
"93","US","200601","14.92"
"94","US","200512","14.6"
"95","US","200511","15.64"
"96","US","200510","16.44"
"97","US","200509","16.56"
"98","US","200508","15.51"
"99","US","200507","14.86"
"100","US","200506","13.79"
"101","US","200505","12.74"
"102","US","200504","11.88"
"103","US","200503","10.84"
"104","US","200502","10.87"
"105","US","200501","10.9"
"106","US","200412","11.09"
"107","US","200411","11.44"
"108","US","200410","11.69"
"109","US","200409","13.31"
"110","US","200408","13.74"
"111","US","200407","13.54"
"112","US","200406","13.08"
"113","US","200405","11.63"
"114","US","200404","10.54"
"115","US","200403","10.03"
"116","US","200402","9.85"
"117","US","200401","9.71"
"118","US","200312","9.51"
"119","US","200311","9.77"
"120","US","200310","10.64"
"121","US","200309","12.31"
"122","US","200308","12.84"
"123","US","200307","12.75"
"124","US","200306","12.08"
"125","US","200305","10.79"
"126","US","200304","10.18"
"127","US","200303","9.77"
"128","US","200302","8.58"
