id,equipment,airline,name,class1,class2,class3,class4,seats1,seats2,seats3,seats4
241,3080,1355,Airbus A380-800,First,Club World,World Traveller Plus,World Traveller,14,97,55,303
242,2790,1355,Boeing 747-400 V1,First,Club World,World Traveler Plus,World Traveler,14,52,36,243
243,2790,1355,Boeing 747-400 V2,First,Club World,World Traveler Plus,World Traveler,14,70,30,185
244,2812,1355,Boeing 767-300 V1 Domestic,Euro Traveller,,,,259,,,
245,2812,1355,Boeing 767-300 V2 Domestic,UK Domestic,,,,252,,,
246,2812,1355,Boeing 767-300 V3 Worldwide,Club World,World Traveler Plus,World Traveler,,24,24,141,
247,2812,1355,Boeing 767-300 V4,Euro Traveller,Club Europe,,,147,97,,
248,2812,1355,Boeing 767-300 V5,Euro Traveller,Club Europe,,,221,26,,
249,2819,1355,Boeing 777-200 Four Class,First,Club World,World Traveler Plus,World Traveler,14,48,40,122
250,2819,1355,Boeing 777-200 Three Class,Club World,World Traveler Plus,World Traveler,,48,24,203,
251,2820,1355,Boeing 777-300 Four Class,First,Club World,World Traveller Plus,World Traveller,14,56,44,185
252,2827,1355,Boeing 787-8,Club World,World Traveller Plus,World Traveller,,35,25,154,
253,2729,1355,Airbus A319 Domestic,UK Domestic,,,,132,,,
254,2729,1355,Airbus A319 European,Euro Traveller,Club Europe,,,78,48,,
255,2733,1355,Airbus A320 Domestic,UK Domestic,,,,162,,,
256,2733,1355,Airbus A320 European,Euro Traveller,Club Europe,,,137,15,,
257,2734,1355,Airbus A321 Domestic,UK Domestic,,,,188,,,
258,2734,1355,Airbus A321 European,Euro Traveller,Club Europe,,,169,15,,
259,2734,1355,Airbus A321 Intl,Club World,Economy,,,23,131,,
260,2767,1355,Boeing 737-400 Domestic,UK Domestic,,,,153,,,
261,2767,1355,Boeing 737-400 European,Club Europe,Euro Traveller,,,13,132,,
266,2728,1355,Airbus A318,Club World London City,,,,32,,,
262,2966,1355,Embraer E-170 European,Club Europe,Euro Traveller,,,52,24,,
263,2966,1355,Embraer E-170 UK Domestic,UK Domestic,,,,76,,,
264,2968,1355,Embraer E-190 European,Euro Traveller,Club Europe,,,60,38,,
265,2968,1355,Embraer E-190 UK Domestic,UK Domestic,,,,98,,,
141,2811,24,Boeing 767-200 ,First,Business,Economy,,10,30,128,
142,2812,24,Boeing 767-300 ,First,Main Cabin Extra,Economy,,30,21,167,
143,2821,24,Boeing 777-200 ,First,Business,Economy,,16,37,194,
144,2824,24,Boeing 777-300ER ,First,Business,Main Cabin Extra,Economy,8,52,30,220
145,2729,24,Airbus A319 ,First,Main Cabin Extra,Economy,,8,18,102,
146,2734,24,Airbus A321 ,First,Business,Main Cabin Extra,Economy,10,20,36,36
147,2771,24,Boeing 737-800 ,First,Main Cabin Extra,Economy,,16,56,78,
151,2967,24,Embraer ERJ-175 ,First,Main Cabin Extra,Economy,,12,20,44,
152,3029,24,McDonnell Douglas MD-80 ,First,Economy,,,16,124,,
154,2896,24,Bombardier CRJ-200 ,Economy,,,,50,,,
157,2973,24,Embraer ERJ-135 ,Economy,,,,37,,,
158,2975,24,Embraer ERJ-140 ,Economy,,,,44,,,
159,2974,24,Embraer ERJ-145 ,Economy,,,,50,,,
160,2861,24,ATR 72 ,Economy,,,,64,,,
301,2790,5209,Boeing 747-400,Global First,Business First,Economy Plus,Economy,12,52,70,240
302,2812,5209,Boeing 767-300 Three Class,Global First,BusinessFirst,Economy Plus,Economy,6,26,71,80
303,2812,5209,Boeing 767-300 Two Class,BusinessFirst,Economy Plus,Economy,,30,49,135,
304,2813,5209,Boeing 767-400ER Intl,BusinessFirst,Economy Plus,Economy,,39,70,133,
305,2819,5209,Boeing 777-200 V1 Three Class Intl,Global First,BusinessFirst,Economy Plus,Economy,8,40,110,108
306,2819,5209,Boeing 777-200 V2 Three Class Intl,Global First,Business First,Economy Plus,Economy,8,40,113,108
307,2819,5209,Boeing 777-200 V3 Three Class Intl,Global First,BusinessFirst,Economy Plus,Economy,12,49,92,105
308,2819,5209,Boeing 777-200 V4 Domestic,First,Economy Plus,Economy,,36,89,223,
309,2819,5209,Boeing 777-200 V5 Two Class Intl,BusinessFirst,Economy Plus,Economy,,50,72,145,
148,2806,24,Boeing 757-200 Domestic,First,Economy,,,22,166,,
149,2806,24,Boeing 757-200 Domestic MCE,First,Main Cabin Extra,Economy,,24,52,108,
150,2806,24,Boeing 757-200 International,Business,Main Cabin Extra,Economy,,16,52,108,
153,3029,24,McDonnell Douglas MD-80 MCE,First,Main Cabin Extra,Economy,,16,40,79,
155,2897,24,Bombardier CRJ-700 V1,First,Economy,,,9,54,,
156,2897,24,Bombardier CRJ-700 V2,First,Economy,,,9,56,,
310,2827,5209,Boeing 787-8,BusinessFirst,Economy Plus,Economy,,36,70,113,
311,2729,5209,Airbus A319 V1,First,Economy Plus,Economy,,8,40,72,
312,2729,5209,Airbus A319 V2,First,Economy Plus,Economy,,8,42,78,
313,2733,5209,Airbus A320 V1,First,Economy Plus,Economy,,12,36,90,
314,2733,5209,Airbus A320 V2,First,Economy Plus,Economy,,12,42,90,
315,2733,5209,Airbus A320 V3,First,Economy Plus,Economy,,12,42,96,
316,2770,5209,Boeing 737-700 Domestic,First,Economy Plus,Economy,,12,40,66,
317,2770,5209,Boeing 737-700 Micronesia,First,Economy Plus,Economy,,12,8,104,
318,2771,5209,Boeing 737-800 V1,First,Economy Plus,Economy,,20,18,114,
319,2771,5209,Boeing 737-800 V2,First,Economy Plus,Economy,,16,18,126,
320,2771,5209,Boeing 737-800 V3 Econ Plus,First,Economy Plus,Economy,,16,48,90,
321,2771,5209,Boeing 737-800 V4 Micronesia,First Class,Economy Plus,Economy,,14,18,123,
322,2772,5209,Boeing 737-900 V1/V2,First Class,Economy Plus,Economy,,20,51,96,
323,2772,5209,Boeing 737-900 V3,First,Economy Plus,Economy,,20,18,135,
324,2806,5209,Boeing 757-200 V1 Domestic,First,Economy Plus,Economy,,24,50,108,
325,2806,5209,Boeing 757-200 V2 Intl,BusinessFirst,Economy Plus,Economy,,16,45,108,
326,2806,5209,Boeing 757-200 V3 PS,BusinessFirst,Economy Plus,Economy,,28,48,66,
327,2806,5209,Boeing 757-200 V4 PS,First,Business,Economy Plus,,12,26,72,
328,2806,5209,Boeing 757-200 V5 Domestic,Business First,Economy Plus,Economy,,24,50,114,
329,2807,5209,Boeing 757-300 V1,First,Economy Plus,Economy,,24,57,132,
330,2807,5209,Boeing 757-300 V2,First,Economy Plus,Economy,,24,24,168,
390,2816,2009,Boeing 767-300ER,Business Elite,Economy Comfort,Economy,,36,29,143,
388,2812,2009,Boeing 767-300ER,BusinessElite,Economy Comfort,Economy,,26,29,171,
389,2812,2009,Boeing 767-300ER,Business Elite,Economy Comfort,Economy,,36,32,143,
391,2812,2009,Boeing 767-300ER,BusinessElite,Economy Comfort,Economy,,36,31,143,
387,2812,2009,Boeing 767-300ER,BusinessElite,Economy Comfort,Economy,,30,38,140,
392,2813,2009,Boeing 767-400ER,BusinessElite,Economy Comfort,Economy,,40,28,178,
343,2970,5209,Embraer EMB-120 V1,Economy Plus,Economy,,,1,29,,
344,2970,5209,Embraer EMB-120 V2,Economy Plus,Economy,,,2,28,,
332,2896,5209,Bombardier CRJ-200 V1,Economy Plus,Economy,,,4,46,,
333,2896,5209,Bombardier CRJ-200 V2,Economy Plus,Economy,,,4,46,,
334,2897,5209,Bombardier CRJ-700 V1,First,Economy Plus,Economy,,6,32,28,
335,2897,5209,Bombardier CRJ-700 V2,First,Economy Plus,Economy,,6,32,28,
336,2974,5209,Embraer ERJ-145 V1,Economy Plus,Economy,,,6,44,,
337,2974,5209,Embraer ERJ-145 V2,Economy Plus,Economy,,,6,44,,
331,2966,5209,Embraer E-170,First,Economy Plus,Economy,,6,16,48,
338,2874,5209,Beechcraft 1900C/1900D,Economy,,,,19,,,
345,3057,5209,Saab 340B,Economy,,,,34,,,
339,2950,5209,Bombardier Q200,Economy,,,,37,,,
340,2951,5209,Bombardier Q300,Economy,,,,50,,,
341,2952,5209,Bombardier Q400 V1,First,Economy Plus,Economy,,7,10,54,
342,2952,5209,Bombardier Q400 V2,Economy Plus,Economy,,,4,70,,
361,2766,4547,Boeing 737-300 Evolve,Economy,,,,143,,,
362,2766,4547,Boeing 737-300 V2,Economy,,,,137,,,
363,2768,4547,Boeing 737-500,Economy,,,,122,,,
364,2770,4547,Boeing 737-700 Evolve,Economy,,,,143,,,
365,2776,4547,Boeing 737-700 V2,Economy,,,,137,,,
366,2771,4547,Boeing 737-800 Evolve,Economy,,,,175,,,
381,2737,2009,Airbus A330-200,BusinessElite,Economy Comfort,Economy,,32,30,181,
383,2738,2009,Airbus A330-300,BusinessElite,Economy Comfort,Economy,,34,32,232,
382,2737,2009,Airbus A330-200,BusinessElite,Economy Comfort,Economy,,34,32,168,
384,2738,2009,Airbus A330-300,BusinessElite,Economy Comfort,Economy,,34,32,227,
385,2790,2009,Boeing 747-400,BusinessElite,Economy Comfort,Economy,,48,42,286,
386,2812,2009,Boeing 767-300,First,Economy Comfort,Economy,,30,28,203,
403,2806,2009,Boeing 757-200,First,Economy Comfort,Economy,,20,24,135,
405,2806,2009,Boeing 757-200,First,Economy Comfort,Economy,,22,19,141,
452,2966,5265,Embraer E-170,First,Coach,,,9,60,,
453,2967,5265,Embraer E-175,First,Coach,,,8,72,,
454,2968,5265,Embraer E-190,First,Economy,,,11,88,,
457,2898,5265,Bombardier CRJ-900,First,Coach,,,9,70,,
458,2974,5265,Embraer ERJ-145,Coach,,,,50,,,
459,2954,5265,de Havilland Dash 8,Coach,,,,37,,,
460,2954,5265,de Havilland Dash 8,Coach,,,,50,,,
401,2806,2009,Boeing 757-200 Pacific,Business,Economy Comfort,Economy,,24,18,132,
402,2806,2009,Boeing 757-200 Transatlantic,BusinessElite,Economy Comfort,Economy,,16,26,129,
406,2806,2009,Boeing 757-200 Hawaii,First,Economy Comfort,Economy,,22,21,132,
407,2806,2009,Boeing 757-200 Live TV,First,Economy Comfort,Economy,,26,26,132,
409,2966,2009,Embraer E-170,First,Economy Comfort,Economy,,9,12,48,
455,2896,5265,Bombardier CRJ-200,Coach,,,,50,,,
456,2897,5265,Bombardier CRJ-700,First,Coach,,,9,58,,
441,2737,5265,Airbus A330-200,Envoy,Economy,,,20,232,,
442,2738,5265,Airbus A330-300,Envoy,Economy,,,28,263,,
443,2811,5265,Boeing 767-200ER,Envoy,Economy,,,18,186,,
444,2729,5265,Airbus A319,First,Coach,,,12,112,,
445,2733,5265,Airbus A320,First,Coach,,,12,138,,
446,2734,5265,Airbus A321,First,Coach,,,16,171,,
447,2767,5265,Boeing 737-400,First,Coach,,,12,132,,
448,2806,5265,Boeing 757-200 V1,First,Economy,,,8,185,,
449,2806,5265,Boeing 757-200 V2,Envoy,Economy,,,12,170,,
450,2806,5265,Boeing 757-200 V3,First,Economy,,,14,176,,
451,2806,5265,Boeing 757-200 V4,Envoy,Economy,,,11,149,,
481,2737,2183,Airbus A330-200 Three Class,First,Business,Economy,,12,42,183,
482,2737,2183,Airbus A330-200 Two Class,Business,Economy,,,27,251,,
483,2743,2183,Airbus A340-300,First,Business,Economy,,12,42,213,
484,2744,2183,Airbus A340-500,First,Business,Economy,,12,42,204,
485,3080,2183,Airbus A380-800 V1,First,Business,Economy,,14,76,399,
486,3080,2183,Airbus A380-800 V2,First,Business,Economy,,14,76,406,
487,2819,2183,Boeing 777-200 Three Class,First,Business,Economy,,12,42,236,
488,2819,2183,Boeing 777-200 Two Class,Business,Economy,,,42,304,,
489,2819,2183,Boeing 777-200LR,First,Business,Economy,,8,42,216,
490,2820,2183,Boeing 777-300,First,Business,Economy,,12,42,310,
491,2824,2183,Boeing 777-300ER Three Class,First,Business,Economy,,12,42,310,
492,2824,2183,Boeing 777-300ER Three Class Private,First Class,Business,Economy,,8,42,294,
493,2824,2183,Boeing 777-300ER Two Class,Business,Economy,,,42,385,,
521,2738,3320,Airbus A330-300 V1,First,Business,Economy,,8,48,161,
522,2738,3320,Airbus A330-300 V2,First,Business,Economy,,8,48,165,
393,2823,2009,Boeing 777-200ER/LR,BusinessElite,Economy Comfort,Economy,,45,36,188,
394,2729,2009,Airbus A319,First,Economy Comfort,Economy,,12,18,96,
395,2733,2009,Airbus A320,First,Economy Comfort,Economy,,12,18,120,
396,2752,2009,Boeing 717-200,First,Economy Comfort,Economy,,12,15,83,
397,2784,2009,Boeing 737-700,First,Economy Comfort,Economy,,12,18,94,
398,2777,2009,Boeing 737-800,First,Economy Comfort,Economy,,16,18,126,
399,2772,2009,Boeing 737-900ER,First,Economy Comfort,Economy,,20,21,139,
404,2809,2009,Boeing 757-200,First,Economy Comfort,Economy,,22,18,141,
408,2807,2009,Boeing 757-300,First,Economy Comfort,Economy,,24,23,177,
523,2743,3320,Airbus A340-300 V1,First,Business,Economy,,8,48,165,
524,2743,3320,Airbus A340-300 V2,First,Business,Economy,,8,36,197,
525,2743,3320,Airbus A340-300 V3,Business,Economy,,,44,222,,
526,2743,3320,Airbus A340-300 V4,Business,Economy,,,42,225,,
527,2745,3320,Airbus A340-600 V1,First,Business,Economy,,8,60,238,
528,2745,3320,Airbus A340-600 V2,First,Business,Economy,,8,56,229,
529,3080,3320,Airbus A380-800,First,Business,Economy,,8,98,420,
530,2790,3320,Boeing 747-400 V1,First,Business,Economy,,8,80,234,
531,2790,3320,Boeing 747-400 V2,First,Business,Economy,,8,66,270,
534,2729,3320,Airbus A319,Business,Economy,,,32,90,,
535,2733,3320,Airbus A320,Business,Economy,,,36,120,,
536,2734,3320,Airbus A321,Business,Economy,,,30,160,,
537,2770,3320,Boeing 737-300,Business,Economy,,,34,90,,
538,2768,3320,Boeing 737-500,Business,Economy,,,30,70,,
561,2737,137,Airbus A330-200,Business,Premium Economy,Economy,,40,21,147,
562,2743,137,Airbus A340-300,Business,Premium Economy,Economy,,30,21,224,
563,2746,137,Airbus A380-800,First,Business,Premium Economy,Economy,9,80,38,389
564,2791,137,Boeing 747-400,Business,Economy,,,36,395,,
565,2819,137,Boeing 777-200ER Four Class,First Class,Business,Premium Economy,Economy,4,49,24,174
566,2819,137,Boeing 777-200ER Three Class,Business,Premium Economy,Economy,,33,24,250,
567,2824,137,Boeing 777-300ER Caribbean,Business,Premium Economy,Economy,,14,32,422,
568,2824,137,Boeing 777-300ER Four Class,First Class,Business,Premium Economy,Economy,8,67,28,200
569,2824,137,Boeing 777-300ER Three Class,Business,Premium Economy,Economy,,42,24,317,
570,2728,137,Airbus A318 Metropole,Economy,,,,131,,,
571,2729,137,Airbus A319 Europe,Premium Economy,Economy,Business,,36,63,26,
572,2729,137,Airbus A319 Metropole,Economy,,,,142,,,
